display arm: ATTACHED to persistent dev display :99 (devdisplay.sh), GUI_GATE=0
PASS     | test_accelerators
PASS     | test_perform_action_wire_cut
PASS     | test_phase3_mints
PASS     | test_pin_name_size_win
PASS     | test_pin_rename_propagate
PASS     | test_pin_type_edit
PASS     | test_placement_preview_doors
PASS     | test_placement_wire_gate
PASS     | test_prep_result_contamination_0155
PASS     | test_pristine_untitled_basename
PASS     | test_pristine_untitled_viewer_0172
PASS     | test_prop_form_field_width_0170
PASS     | test_raw_ascii_point_bounds
PASS     | test_raw_case_mode
PASS     | test_raw_read_dispatch
PASS     | test_raw_read_failure_0306
PASS     | test_rdw_seam_1245
PASS     | test_rdw_window_1245
PASS     | test_readonly
PASS     | test_readonly_action_dispatch
PASS     | test_readonly_guard
PASS     | test_recent_conf_compat_0924
PASS     | test_remap
PASS     | test_remap_verify
PASS     | test_reopen_readonly
PASS     | test_reopen_recent
PASS     | test_resolved_net_attr_scope_0163
PASS     | test_resolved_net_bus_global_0157
PASS     | test_resolved_net_hash_bus_0158
PASS     | test_resolved_net_templ_fallback_0164
PASS     | test_results_dialog
PASS     | test_results_freshness
PASS     | test_results_select
PASS     | test_rotate_prompt_object
PASS     | test_rotate_stretch_dangling_0103
PASS     | test_rotate_stretch_reconnect
PASS     | test_rotate_stretch_reconnect_0099
PASS     | test_rotate_stretch_reconnect_0100
PASS     | test_rotate_stretch_route_quality_0110
FAIL     | test_rotate_stretch_short_0104
PASS     | test_rotmove_drop_log
PASS     | test_save_as_cellview
PASS     | test_save_as_form
PASS     | test_save_reload_copy_selflog
PASS     | test_sch_add_pin
PASS     | test_schpins_stale_lab_0185
PASS     | test_scripted_shape_undo
PASS     | test_select_at
PASS     | test_select_inside_argc
PASS     | test_select_same_net_by_label
PASS     | test_selflog_grep_guard
FAIL     | test_selflog_output
PASS     | test_shape_draw_gate
PASS     | test_shape_setprop_log
PASS     | test_signal_short_nohier_0230
PASS     | test_sim_casemode_registry
PASS     | test_sim_plain_run
PASS     | test_sim_probe
PASS     | test_sim_run_profile
PASS     | test_sky130a_libmgr
PASS     | test_snap_bindkeys
PASS     | test_sod_pick_no_select_0204
PASS     | test_spice_get_node_0861
PASS     | test_startup_guard_0663
PASS     | test_statusmsg_hold_0248
PASS     | test_stdin_tcp_log
PASS     | test_sweep_diff
PASS     | test_symbol_view_resolve
PASS     | test_sympin_drop_log
PASS     | test_tedax_extra_pinnumber_0179
PASS     | test_text_view_model
PASS     | test_toggle_editmode_log
PASS     | test_transform_keys_remap
PASS     | test_traversal_flag_leak
PASS     | test_undo_link_symbols
PASS     | test_undo_move_keep_selection
PASS     | test_undo_selection
PASS     | test_untitled_name_dir_0323
PASS     | test_untitled_reuse
PASS     | test_unused_attr_0970
PASS     | test_vcd_read
PASS     | test_vcd_time_base
PASS     | test_verb_noun_copy_move
PASS     | test_verb_noun_descend_0200
PASS     | test_verilog_view_model
PASS     | test_viewer_title
PASS     | test_vpulse
PASS     | test_vpwl
PASS     | test_wave_axis_zoom
PASS     | test_wave_casemode
PASS     | test_wave_clear_all
PASS     | test_wave_crossdb_trace
PASS     | test_wave_cursor_crossdb
PASS     | test_wave_drag_preview
PASS     | test_wave_empty_strips
PASS     | test_wave_grid
PASS     | test_wave_hilight
PASS     | test_wave_legend
PASS     | test_wave_markers
PASS     | test_wave_modes
PASS     | test_wave_sigbrowser
FAIL     | test_wave_sigbrowser_0312
PASS     | test_wave_sigbrowser_0315
PASS     | test_wave_sigbrowser_0318
PASS     | test_wave_sigbrowser_0319
PASS     | test_wave_sigbrowser_2pane
PASS     | test_wave_sigbrowser_digital
PASS     | test_wave_sigbrowser_i11
PASS     | test_wave_sigbrowser_i12
PASS     | test_wave_sigbrowser_i1315
PASS     | test_wave_sigbrowser_i14
FAIL     | test_wave_sigbrowser_keys
PASS     | test_wave_sigbrowser_panes
PASS     | test_wave_sigbrowser_sea
PASS     | test_wave_sigsearch
PASS     | test_wave_snap
PASS     | test_wave_split_strip
PASS     | test_wave_tabs
PASS     | test_wave_trace_menu
PASS     | test_wave_viewer
PASS     | test_wave_viewer_geometry
PASS     | test_waves_gate
PASS     | test_window_numbering
SKIP     | test_window_report
PASS     | test_window_switch_bogus_enter
PASS     | test_wire_complete_with_selection
PASS     | test_wire_split
PASS     | test_wire_stub_bindings
PASS     | test_wire_vertex_grab
PASS     | test_zero_point_pos_at_0852
PASS     | test_zero_point_raw_0836
--------- wireedit suite ---------
test_wireedit_00_selftest.tcl: RESULT: ALL PASS
test_wireedit_01_stretch_off.tcl: RESULT: ALL PASS
test_wireedit_02_parallel_stretch.tcl: RESULT: ALL PASS
test_wireedit_03_perp_lone.tcl: RESULT: ALL PASS
test_wireedit_04_subgrid.tcl: RESULT: ALL PASS
test_wireedit_05_tjunction.tcl: RESULT: ALL PASS
test_wireedit_06_corner_slide.tcl: RESULT: ALL PASS
test_wireedit_07_colinear_merge.tcl: RESULT: ALL PASS
test_wireedit_08_overlap_dedup.tcl: RESULT: ALL PASS
test_wireedit_09_orphan_stub.tcl: RESULT: ALL PASS
test_wireedit_10_exit_stub.tcl: RESULT: ALL PASS
test_wireedit_11_two_nets_no_short.tcl: RESULT: ALL PASS
test_wireedit_12_bus.tcl: RESULT: ALL PASS
test_wireedit_13_multi_rigid.tcl: RESULT: ALL PASS
test_wireedit_14_undo.tcl: RESULT: ALL PASS
test_wireedit_15_far_fixed_pin.tcl: RESULT: ALL PASS
test_wireedit_16_pin_abutment.tcl: RESULT: ALL PASS
test_wireedit_17_wire_drag_junction.tcl: RESULT: ALL PASS
test_wireedit_18_subgrid_corner.tcl: RESULT: ALL PASS
test_wireedit_19_multipin_exit_stub.tcl: RESULT: ALL PASS
test_wireedit_20_F1_netlabel_tap.tcl: RESULT: ALL PASS
test_wireedit_22_F5_no_short.tcl: RESULT: ALL PASS
test_wireedit_23_F4_body_detour.tcl: RESULT: ALL PASS
test_wireedit_24_F3_same_edge.tcl: RESULT: ALL PASS
test_wireedit_25_F8_mos_bundle.tcl: RESULT: ALL PASS
test_wireedit_26_phase1_runtime_guard.tcl: RESULT: ALL PASS
test_wireedit_27_phase1_disconnect.tcl: RESULT: ALL PASS
test_wireedit_28_escape_normal.tcl: RESULT: ALL PASS
test_wireedit_29_exit_stub_connectivity.tcl: RESULT: ALL PASS
test_wireedit_30_F2_two_pin_res.tcl: RESULT: ALL PASS
test_wireedit_31_tapped_leg_connectivity.tcl: RESULT: ALL PASS
test_wireedit_32_decouple_ownership.tcl: RESULT: ALL PASS
test_wireedit_33_incremental_step.tcl: RESULT: ALL PASS
test_wireedit_34_r18_no_short.tcl: RESULT: ALL PASS
test_wireedit_35_flip_generality.tcl: RESULT: ALL PASS
test_wireedit_36_both_blocked_detour.tcl: RESULT: ALL PASS
test_wireedit_37_connected_wire_shove.tcl: RESULT: ALL PASS
test_wireedit_38_shove_declines.tcl: RESULT: ALL PASS
test_wireedit_39_p6_min_bend.tcl: RESULT: ALL PASS
test_wireedit_40_diagonal_shove.tcl: RESULT: ALL PASS
test_wireedit_41_no_short_offset_solder.tcl: RESULT: ALL PASS
test_wireedit_42_farpin_never_worse.tcl: RESULT: ALL PASS
test_wireedit_43_diagonal_fallback_no_short.tcl: RESULT: ALL PASS
test_wireedit_44_diagonal_manhattan_quality.tcl: RESULT: ALL PASS
test_wireedit_45_redundant_loop_0088.tcl: RESULT: ALL PASS
test_wireedit_46_reversal_0089.tcl: RESULT: ALL PASS
test_wireedit_47_staircase_0090.tcl: RESULT: ALL PASS
test_wireedit_48_body_cross_0091.tcl: RESULT: ALL PASS
test_wireedit_49_axis_overshoot_0092.tcl: RESULT: ALL PASS
test_wireedit_50_regrab_partial_disconnect_0093.tcl: RESULT: ALL PASS
test_wireedit_51_offpin_foreign_backbone_0094.tcl: RESULT: ALL PASS
test_wireedit_52_pushthrough_amnesty_0112.tcl: RESULT: ALL PASS
test_wireedit_53_mixed_selection_safetynet_0113.tcl: RESULT: ALL PASS
test_wireedit_54_enforce_refuse_named_rail_0105.tcl: RESULT: ALL PASS
test_wireedit_55_failsafe_counter_b4.tcl: RESULT: ALL PASS
test_wireedit_56_fluid_pass_harness_d6.tcl: RESULT: ALL PASS
test_wireedit_57_enforce_preexisting_foreign_short_0123.tcl: RESULT: ALL PASS
test_wireedit_58_user_hash_label_0162.tcl: RESULT: ALL PASS
WIREEDIT: ALL PASS
========================================
SUMMARY: 368 pass  11 fail  0 crash/timeout  2 skip  (total 381)
WIREEDIT: PASS
SCRATCH:  0 leaked dir(s)
TREE:     0 appeared  0 vanished (report only, gitignored paths excluded; issues 0352/0353)
========================================

=== FAIL / CRASH / TIMEOUT output ===

###### FAIL: test_altf5_ciw ######
Using run time directory XSCHEM_SHAREDIR = /home/analog/dev/xschem-claude/src
Sourcing /home/analog/dev/xschem-claude/src/xschemrc init file
ok   - action registered / bindable
ok   - Alt-F5 raises/opens the CIW
FAIL - un-bound Alt-F5 no longer raises CIW
ok   - rebound Alt-F5 raises CIW again
ok   - cadence_style_rc sources
ok   - cadence F5 forwards Alt-F5 to the C dispatch
ok   - cadence F5 keeps plain-F5 highlight
ok   - CYT1 cadence Ctrl-Y is installed and non-empty on .drw
ok   - CYT2 cadence Ctrl-Y runs the bare `xschem descend_symbol`
ok   - CYT3 cadence Ctrl-Y did not displace the `i` -> Create Instance steal
RESULT: FAIL

###### FAIL: test_ase_core ######
Using run time directory XSCHEM_SHAREDIR = /home/analog/dev/xschem-claude/src
Sourcing /home/analog/dev/xschem-claude/src/xschemrc init file
ok:   R1 default has exactly the 17 schema keys
ok:   R1 cosim defaults to empty and is omitted from the serialized form
ok:   R1 a NON-empty cosim IS serialized
ok:   C2 save_op_params defaults to empty
ok:   C2 0927 the empty default reads ON
ok:   C2 0927 an ABSENT key reads ON too (a state written before the key)
ok:   C2 0927 only an explicit false reads OFF
ok:   C2 0927 op_gate_value is the one writer: on -> {} (omitted), off -> 0
ok:   C2 save_op_params is OMITTED from the serialized default state
ok:   C2 save_op_params sits right after save_all_i in the canonical order
ok:   C2 save_op_params is in ase::omit_if_empty
ok:   C3 0927 save_op_params 0 IS serialized (OFF is what costs a key)
ok:   C3 save_op_params 1 IS serialized too (the key is not write-only)
ok:   R1 version is 1
ok:   R1 temperature default 27
ok:   R1 save_all_v and save_all_i default 0
ok:   R1 analyses are the four types in order
ok:   R1 only op enabled by default
ok:   R2 every key equal after save->load
ok:   R3 custom_key preserved on load
ok:   R3 loaded value overrides default (merge over)
ok:   R3 saved file contains custom_key {hello world}
ok:   R3 saved file keeps the known value
ok:   R4 load->save byte-identical
ok:   B1 ngspice registered, all four hooks resolve to commands
ok:   D1 golden deck for the nfet state
ok:   D2 no dc line while dc disabled
ok:   D2 op renders before tran 1n 1u
ok:   D3 exactly one .end
ok:   D3 .end is the last non-blank line
ok:   D4 custom temperature renders .temp 33.5
ok:   D4 non-numeric temperature errors cleanly
ok:   D4 temperature error is the clean ase message
ok:   D4 missing temperature key still emits .temp 27
ok:   D5 save_all_v renders .save all
ok:   D5 .save all precedes the per-output .save
ok:   D5 save_all_i renders .options savecurrents
ok:   D5 blankets off leave no blanket lines
ok:   C0 the S4 op-cards seam exists (0679: the remedy's registry lookup too)
ok:   C4 empty cache leaves the D1 golden deck byte-identical
ok:   C5 gate off emits no device save cards
ok:   C5 gate off emits no op_annot marker line
ok:   C5 gate off is byte-identical to the D1 golden
ok:   D6 0929/0964 op+tran: appendwrite once, then analysis/remzerovec/write per analysis, in that order, with the operating point LAST
ok:   D6 0929 exactly one write per ENABLED analysis, and both name the raw
ok:   C5b 0928 gate ON but no `op` analysis emits NO device save cards
ok:   C5b2 0928 no `op` analysis: the walk is never called, a HIT is left, and nothing is echoed
ok:   C6 the deck still has a .control line
ok:   C6 exactly one op_annot marker line
ok:   C6 the block sits VERBATIM in the lines immediately above .control
ok:   C6 the marker line is the line immediately above the block
ok:   C6 all three cards land ABOVE .control (deck level)
ok:   C6 the per-output .save row is still emitted, ahead of the block
ok:   C7 a stale/absent cache emits no device save cards
ok:   C7 a stale/absent cache emits no marker line
ok:   C7 the miss is REPORTED as an error naming Netlist and Run
ok:   C8 gate on adds exactly one .save all line (I2 / rule R2)
ok:   C8 that .save all precedes the first device card
ok:   C9 no emitted card wears an i()/v() wrapper
ok:   C10 an empty walk is REPORTED (no device produced a card)
ok:   C10 an empty block appends nothing
ok:   C10 an empty block appends no marker line
ok:   C10 an empty HIT is NOT reported as a stale cache
ok:   C11 design_is_dirty agrees with xschem get modified (clean)
ok:   C11 design_is_dirty agrees with xschem get modified (dirty)
ok:   C11 design_is_dirty back to 0
FAIL: C11 no untitled~.sch was dropped in the repo root (issue 0609) -> {1} (exp {0}) : FAIL
ok:   C12 a dirty sheet never reaches op_annot::save_cards
ok:   C12 a dirty sheet leaves the cache empty
ok:   C12 the refusal is reported and names the unsaved edits
ok:   C12 the refusal points at the open ruling (issue 0632)
ok:   C12 the deck carries no device cards after a refusal
ok:   C13 0635 the dirty refusal still names the unsaved edits
ok:   C13 0635 and NO contradicting Netlist-and-Run sentence follows it
ok:   C13 0635 exactly ONE save-card sentence reaches the user
ok:   C13b 0635 the refusal leaves a HIT for this netlist text
ok:   C13b ...whose block is still EMPTY (C12's claim survives)
ok:   C13 the deck still carries no device cards after a refusal
ok:   C13c 0635 a save_cards RAISE is reported, naming the failure
ok:   C13c 0635 a save_cards RAISE also leaves a HIT
ok:   C13c 0635 and no contradicting Netlist-and-Run sentence follows it
ok:   C13c exactly ONE save-card sentence reaches the user
ok:   C13d 0635 NON-VACUITY a DIFFERENT netlist text is still reported (C7 stands)
ok:   D6 pre_ command rendered with its $::VAR expanded
ok:   D6 pre_ commands sit inside .control, ahead of the analyses
ok:   D6 both entries rendered, in order
ok:   D6 a bare-string entry renders verbatim
ok:   D6 no pre_ line when the state has none
ok:   D6 pre_commands is in the canonical schema order
ok:   P1 result_probe keys unnamed outputs by expr
ok:   P1 named output still keyed by name
ok:   F0 gate defaults to 1
ok:   F1 1.04e-4 -> 104u
ok:   F1 4.096837e-4 -> 409.7u
ok:   F1 1e-3 -> 1m
ok:   F1 27 -> 27
ok:   F1 1.5e6 -> 1.5Meg
ok:   F1 0 -> 0
ok:   F1 negative keeps sign (-1.04e-4 -> -104u)
ok:   F1 sub-unity gets a suffix (0.5 -> 500m)
ok:   F1 mantissa rounding rolls over (999.96e-6 -> 1m)
ok:   F1 sub-femto clamps to f (5e-16 -> 0.5f)
ok:   F1 clamp edge (1e-18 -> 0.001f)
ok:   F1 exponent-form unity (1.000000e+00 -> 1)
ok:   F1 plain decimal unchanged (1.8 -> 1.8)
ok:   F2 1e15 falls back to %g
ok:   F2 9e-19 falls back to %g
ok:   F3 expression verbatim (vdd/2)
ok:   F3 blank verbatim
ok:   F3 already-suffixed verbatim (1k)
ok:   F4 gate off returns raw (set ::ase_eng_notation 0 -> 1.04e-4)
ok:   F4 gate restored -> 104u again
ok:   N1 design window bound before the first netlist (0698)
ok:   N1 netlist path
ok:   N1 netlist file exists
ok:   N1 netlist contains XM1
ok:   N1 netlist has no .control
ok:   N1 netlist has no .lib
ok:   N1 last non-blank netlist line is .end
ok:   N2 empty rundir falls back to netlist_dir
ok:   N2 default rundir was created
ok:   E1a ngspice exit code 0
ok:   E1a deck file written
ok:   E1b log file exists, non-empty, has data rows
ok:   E1c parsed Id within 1e-3 of 4.096837e-04
ok:   E1d user callback fired
ok:   E1e the log opens with a run banner naming the cell
ok:   E1e the header carries simulator, command, directory and deck
ok:   E1f the log closes with the exit code and the elapsed seconds
ok:   E1g the simulator's region is BYTE-IDENTICAL to execute(data,last)
Proc execute error: couldn't execute "ase_definitely_missing_binary_xyz": no such file or directory
ok:   E2 missing binary raises an error
ok:   E2 error is the clean ase message
ok:   E2b 0618 a failed LAUNCH still leaves a log, and it is header-only
ok:   E3 unknown simulator raises an error
ok:   E3 error mentions nosuchsim
ok:   E4 the empty run exits non-zero
ok:   E4 0618 a run with NO output still has a header, a delimiter and a footer
ok:   E4 0618 and the simulator's own region is EMPTY, not absent
ok:   E4b 0618 run_done still accepts THREE arguments (test_ase_cosim's shape)
ok:   E4b 0618 with no metadata the file is execute(data,last), byte for byte
ok:   NT0 0650 the ::xschem NAMESPACE and the `xschem` COMMAND coexist
ok:   NT1 0650+0658+0665 xschem::notify and every named callee exist
ok:   NT2 0653 R-0653-a ::notify_style defaults to `ciw` at source time
ok:   NT3 0653 I5 the style is read at CALL time: setting ::notify_style popup after the proc was defined selects the popup sink on the very next notice
ok:   NT4 0650 ONE xschem::notify produces EXACTLY ONE ::ciw_echo call, with the message byte-identical
ok:   NT5 0650 xschem::notify {} still echoes ONE blank pane line
ok:   NT6 0650 a trailing backslash is NOT padded in the pane copy
ok:   NT7 0650 -tag error reaches ::ciw_echo tagged `error`; the default tag is {}
ok:   NT8 0653 R-0653-d -menu and -command are DISTINCT fields in ::xschem::notify_last, and the rendered line carries both
ok:   NT9 0654 notify_short caps a 300-char message at exactly 28 chars ending `...`
ok:   NT10 0654 notify_short returns an explicit -short verbatim when it fits, and collapses newlines/tabs to spaces
ok:   NT11 0653 R-0653-c the latch is keyed on (subject, STATE), not on subject alone: take, hold, and a DIFFERENT state still speaks
ok:   NT12 0653 rearm gives back EXACTLY ONE turn, and reset frees ONE subject (subject B's held key stays held)
ok:   NT13 0653 a suppressed -once/-state notice returns 0 and reaches NO sink
ok:   NT14 0650 headless: no sink raises, and neither Tk-only sink is claimed
ok:   NT15 0650 a notice leaves `xschem get statusmsg` and statusmsg_hold untouched (the rejected .statusbar.1 sink stays rejected)
ok:   NT16 0658 R3 the LIVE ::xschem::notify is the FOUR-SINK one, not the bootstrap: it raises on an unknown option, names both Tk sinks in its body, keeps -menu/-command as distinct fields, and its body differs from notify_bootstrap's
xschem: NOTICE CHANNEL DEGRADED: no durable log is open (--nolog, or --nogui with no --logdir), so notices reach STDERR ONLY from here on (no CIW pane, no status field, no popup, no remedy). Cause: invalid command name "::xschem::notify"
xschem: NT17 the notification channel is gone and this notice must still be made
ok:   NT17 0658 R1/R2 with ::xschem::notify RENAMED AWAY, ase::echo still reaches the bootstrap: it does not raise, and notify_last is FRESH FOR THIS CALL with no short form, no remedy and an HONEST (empty, --nolog) sink list
xschem: NT18 the waveform viewer delegate must reach the durable log too
ok:   NT18 0658 R2 with the channel gone wviewer::echo reaches the bootstrap too, with its own fresh witness
ok:   NT19 0658 I1: notify_bootstrap is STRICTLY SMALLER than notify and names none of the sinks/policies it deliberately lacks, and BOTH delegates call the ONE shared notify_safe body
ok:   NT20 0658 the REAL state-keyed latch still wins over the bootstrap's degenerate always-1 one (a second identical (subject,state) is suppressed)
xschem: NOTICE CHANNEL FAULT: NT21 a simulated bug inside the channel itself. Measured: the live xschem::notify is the full channel, not the log-only fallback. NOT measured, and therefore NOT claimed: which sinks any later notice reaches -- if this cause persists, later notices can keep missing a sink with no further word.
xschem: NT21 the channel itself is broken and the notice must survive that
ok:   NT21 0658 a channel that RAISES (a real bug inside notify) is caught, falls back to the bootstrap, never propagates, and records THIS notice
ok:   NT22 0665 the channel RECORDS WHAT IT DID in a namespace variable that SURVIVES the unwind: with notify_record gone it raises at its LAST statement and the record still names the sink that had already fired
note: NT22 record after the raise = {ciw}
note: NT22 raise message = {invalid command name "xschem::notify_record"}
